timestamp_ns,tx,ty,tz,qx,qy,qz,qw
5064308304000,0.890561000,2.154662000,0.156875000,-0.136900737,0.791628965,-0.592595933,0.058410877
5064309551000,0.890586000,2.154682000,0.156894000,-0.136807200,0.791638366,-0.592598895,0.058472535
5064310798000,0.890611000,2.154703000,0.156912000,-0.136713002,0.791648295,-0.592601410,0.058532901
5064312045000,0.890636000,2.154724000,0.156931000,-0.136618621,0.791658827,-0.592603211,0.058592564
5064313292000,0.890661000,2.154744000,0.156949000,-0.136524084,0.791670057,-0.592604149,0.058651657
5064314539000,0.890686000,2.154765000,0.156967000,-0.136429244,0.791682019,-0.592604230,0.058710040
5064315786000,0.890712000,2.154786000,0.156985000,-0.136334192,0.791694616,-0.592603569,0.058767614
5064317033000,0.890738000,2.154807000,0.157002000,-0.136239465,0.791707874,-0.592602012,0.058824358
5064318280000,0.890765000,2.154828000,0.157019000,-0.136145290,0.791722053,-0.592599191,0.058879968
5064319527000,0.890791000,2.154849000,0.157035000,-0.136051007,0.791736950,-0.592595565,0.058934045
5064320774000,0.890818000,2.154870000,0.157052000,-0.135956853,0.791752129,-0.592591650,0.058986753
5064322021000,0.890845000,2.154891000,0.157067000,-0.135863380,0.791767657,-0.592587182,0.059038552
5064323268000,0.890872000,2.154912000,0.157083000,-0.135770166,0.791783765,-0.592581976,0.059089191
5064324515000,0.890900000,2.154933000,0.157098000,-0.135677041,0.791800510,-0.592576045,0.059138177
5064325762000,0.890928000,2.154954000,0.157113000,-0.135584458,0.791817922,-0.592569240,0.059185545
5064327009000,0.890956000,2.154975000,0.157127000,-0.135492549,0.791835819,-0.592561756,0.059231493
5064328256000,0.890984000,2.154996000,0.157141000,-0.135401161,0.791854039,-0.592553853,0.059275949
5064328610000,0.890992000,2.155002000,0.157145000,-0.135375294,0.791859253,-0.592551556,0.059288332
5064329503000,0.891013000,2.155016000,0.157155000,-0.135310165,0.791872745,-0.592545387,0.059318459
5064330750000,0.891042000,2.155037000,0.157167000,-0.135219650,0.791892025,-0.592536210,0.059359131
5064331997000,0.891072000,2.155057000,0.157180000,-0.135129753,0.791911801,-0.592526347,0.059398464
5064333244000,0.891101000,2.155077000,0.157192000,-0.135040815,0.791931959,-0.592515851,0.059436667
5064334491000,0.891131000,2.155097000,0.157204000,-0.134952996,0.791952572,-0.592504628,0.059473345
5064335738000,0.891162000,2.155117000,0.157215000,-0.134866667,0.791973669,-0.592492601,0.059508044
5064336985000,0.891192000,2.155138000,0.157225000,-0.134782114,0.791995253,-0.592479697,0.059540815
5064338232000,0.891223000,2.155158000,0.157236000,-0.134698962,0.792017242,-0.592466135,0.059571442
5064339479000,0.891255000,2.155179000,0.157245000,-0.134617097,0.792039602,-0.592452028,0.059599495
5064340726000,0.891286000,2.155199000,0.157255000,-0.134536688,0.792062296,-0.592437363,0.059625243
5064341973000,0.891318000,2.155220000,0.157264000,-0.134457914,0.792085297,-0.592422111,0.059648921
5064343220000,0.891350000,2.155240000,0.157272000,-0.134380610,0.792108585,-0.592406330,0.059670613
5064344467000,0.891383000,2.155261000,0.157280000,-0.134304600,0.792131998,-0.592390308,0.059689992
5064345714000,0.891415000,2.155282000,0.157288000,-0.134229948,0.792155294,-0.592374356,0.059707069
5064346961000,0.891448000,2.155302000,0.157295000,-0.134156761,0.792178488,-0.592358394,0.059722187
5064348208000,0.891482000,2.155323000,0.157302000,-0.134084897,0.792201991,-0.592341931,0.059735105
5064349455000,0.891516000,2.155344000,0.157308000,-0.134014074,0.792225987,-0.592324786,0.059745810
5064350702000,0.891549000,2.155365000,0.157314000,-0.133944386,0.792250422,-0.592307002,0.059754378
5064351949000,0.891584000,2.155386000,0.157320000,-0.133875634,0.792275140,-0.592288796,0.059761189
5064353196000,0.891618000,2.155407000,0.157325000,-0.133807995,0.792300001,-0.592270321,0.059766166
5064354443000,0.891653000,2.155428000,0.157330000,-0.133742052,0.792324961,-0.592251491,0.059769478
5064355690000,0.891688000,2.155449000,0.157334000,-0.133677694,0.792350207,-0.592232085,0.059771074
5064356937000,0.891723000,2.155470000,0.157338000,-0.133614224,0.792375772,-0.592212255,0.059770556
5064358184000,0.891759000,2.155491000,0.157342000,-0.133551779,0.792401447,-0.592192236,0.059768092
5064359431000,0.891795000,2.155512000,0.157345000,-0.133490719,0.792426992,-0.592172235,0.059763992
5064360678000,0.891831000,2.155533000,0.157348000,-0.133430783,0.792452519,-0.592152151,0.059758359
5064361925000,0.891868000,2.155554000,0.157351000,-0.133371763,0.792478535,-0.592131366,0.059751073
5064361941000,0.891868000,2.155554000,0.157351000,-0.133371012,0.792478873,-0.592131093,0.059750968
5064363172000,0.891904000,2.155574000,0.157353000,-0.133313613,0.792504749,-0.592110271,0.059742207
5064364419000,0.891942000,2.155594000,0.157355000,-0.133256398,0.792530916,-0.592089199,0.059731565
